"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","test_orangehrm_url_DDT","testCases","Sun Aug 11 14:32:23 IST 2024","passed","Sun Aug 11 14:32:23 IST 2024","Test_OrangeHRM_Login_DDT","test_OrangeHRM_Login_DDT","",""
"","174280","test_orangehrm_login_DDT","testCases","Sun Aug 11 14:32:33 IST 2024","passed","Sun Aug 11 14:35:27 IST 2024","Test_OrangeHRM_Login_DDT","test_OrangeHRM_Login_DDT","",""
